theta,N,bias,MAE,RMSE,SEM,Theoretical_Limit_SEM,correlation,reliability_1,reliability_2
-3.0,3,0.879404,0.879404,1.008931,0.468358,,
-2.5,16,0.613422,0.621977,0.729971,0.448763,,
-2.0,29,0.204457,0.414681,0.52167,0.448812,,
-1.5,67,0.331996,0.463163,0.568679,0.445109,,
-1.0,99,0.212701,0.34582,0.4632,0.445142,,
-0.5,182,0.14199,0.334945,0.420582,0.443665,,
0.0,196,-0.005521,0.325286,0.402616,0.443225,,
0.5,188,-0.041785,0.292209,0.366128,0.44411,,
1.0,116,-0.189268,0.376293,0.458352,0.44479,,
1.5,55,-0.308849,0.42831,0.500647,0.44515,,
2.0,32,-0.337205,0.462126,0.582373,0.446364,,
2.5,12,-0.376219,0.527539,0.607436,0.456578,,
3.0,5,-0.644624,0.644624,0.672435,0.454931,,
Test,1000,0.021118,0.361084,0.455241,0.44472,,0.896259,1.237525,0.767358
