thread,student,domain_name,domain_value,item_count,raw_score,max_points,true_theta,theta,se,scale_score,scale_score_se,performance_level
1,1,Overall,Overall,18,10,18,-0.079888,0.462176,0.443323,0,0,
1,2,Overall,Overall,18,10,18,-0.577831,0.222866,0.441813,0,0,
1,3,Overall,Overall,17,9,17,0.051265,0.211029,0.449949,0,0,
1,4,Overall,Overall,18,9,18,-0.177713,0.074132,0.440332,0,0,
1,5,Overall,Overall,18,9,18,0.615441,0.361045,0.444859,0,0,
1,6,Overall,Overall,19,12,19,1.088635,0.727416,0.439167,1,0,
1,7,Overall,Overall,19,12,19,0.291258,0.877393,0.446957,1,0,
1,8,Overall,Overall,18,11,18,-0.288291,0.419775,0.446187,0,0,
1,9,Overall,Overall,22,6,22,-2.050112,-1.262787,0.448952,-1,0,
1,10,Overall,Overall,18,11,18,0.72216,0.348358,0.446328,0,0,
1,11,Overall,Overall,22,6,22,-1.31278,-1.167477,0.443502,-1,0,
1,12,Overall,Overall,18,9,18,0.004958,0.224953,0.441899,0,0,
1,13,Overall,Overall,18,8,18,-0.636657,-0.427375,0.44452,0,0,
1,14,Overall,Overall,18,7,18,-0.339976,-0.640154,0.447187,-1,0,
1,15,Overall,Overall,18,7,18,-0.507452,-0.379319,0.446948,0,0,
1,16,Overall,Overall,20,14,20,1.203852,1.070897,0.445271,1,0,
1,17,Overall,Overall,18,7,18,-0.080111,-0.626395,0.448206,-1,0,
1,18,Overall,Overall,18,9,18,0.351747,0.012984,0.440826,0,0,
1,19,Overall,Overall,18,8,18,0.069284,-0.362393,0.441794,0,0,
1,20,Overall,Overall,24,19,24,1.535842,1.818284,0.443533,2,0,
1,21,Overall,Overall,28,4,28,-1.541817,-2.10255,0.446916,-2,0,
1,22,Overall,Overall,18,10,18,1.219702,0.558968,0.445391,1,0,
1,23,Overall,Overall,17,9,17,-0.06812,0.211029,0.449949,0,0,
1,24,Overall,Overall,22,6,22,-1.480799,-1.209891,0.445682,-1,0,
1,25,Overall,Overall,19,13,19,1.138135,0.785946,0.446584,1,0,
1,26,Overall,Overall,19,13,19,1.471413,0.837783,0.445639,1,0,
1,27,Overall,Overall,18,8,18,-0.425893,-0.011199,0.449218,0,0,
1,28,Overall,Overall,23,17,23,0.984834,1.554862,0.43965,2,0,
1,29,Overall,Overall,30,27,30,2.437908,2.390491,0.456133,2,0,
1,30,Overall,Overall,20,6,20,-1.10044,-1.125987,0.449573,-1,0,
1,31,Overall,Overall,18,11,18,-0.066069,0.530196,0.444757,1,0,
1,32,Overall,Overall,19,12,19,1.350455,0.80442,0.442305,1,0,
1,33,Overall,Overall,18,9,18,0.365651,0.297355,0.445635,0,0,
1,34,Overall,Overall,26,5,26,-1.713997,-1.836454,0.44049,-2,0,
1,35,Overall,Overall,20,6,20,-0.719547,-1.125987,0.449573,-1,0,
1,36,Overall,Overall,18,8,18,-0.507802,-0.120331,0.442118,0,0,
1,37,Overall,Overall,18,9,18,-0.275767,0.224953,0.441899,0,0,
1,38,Overall,Overall,27,4,27,-1.367789,-1.694612,0.456886,-2,0,
1,39,Overall,Overall,19,7,19,-0.866497,-0.789499,0.44326,-1,0,
1,40,Overall,Overall,18,11,18,0.348673,0.419775,0.446187,0,0,
1,41,Overall,Overall,18,9,18,-0.208232,-0.099181,0.439871,0,0,
1,42,Overall,Overall,21,6,21,-0.614222,-1.040965,0.447658,-1,0,
1,43,Overall,Overall,23,18,23,2.018656,1.701797,0.447364,2,0,
