type,id,count,exposure_rate
item,I0264,1,0.0
item,I0265,358,0.1
item,I0266,2,0.0
item,I0267,357,0.1
item,I0268,102,0.03
item,I0269,2,0.0
item,I0270,358,0.1
item,I0271,2,0.0
item,I0272,356,0.1
item,I0273,349,0.1
item,I0274,355,0.1
item,I0275,354,0.1
item,I0276,352,0.1
item,I0277,216,0.06
item,I0278,146,0.04
item,I0279,360,0.1
item,I0280,210,0.06
item,I0281,147,0.04
item,I0282,163,0.05
item,I0283,113,0.03
item,I0284,178,0.05
item,I0285,182,0.05
item,I0286,71,0.02
item,I0287,179,0.05
item,I0288,110,0.03
item,I0289,0,0.0
item,I0290,0,0.0
item,I0291,0,0.0
item,I0292,0,0.0
item,I0293,0,0.0
item,I0294,0,0.0
item,I0295,0,0.0
item,I0296,0,0.0
item,I0297,0,0.0
item,I0298,0,0.0
item,I0299,0,0.0
item,I0300,0,0.0
item,I0301,347,0.1
item,I0302,238,0.07
item,I0303,133,0.04
item,I0304,15,0.0
item,I0305,208,0.06
item,I0306,158,0.04
item,I0307,224,0.06
item,I0308,137,0.04
item,I0309,144,0.04
item,I0310,190,0.05
item,I0311,155,0.04
item,I0312,83,0.02
item,I0313,0,0.0
item,I0314,0,0.0
item,I0315,0,0.0
item,I0316,0,0.0
item,I0317,0,0.0
item,I0318,0,0.0
item,I0319,0,0.0
item,I0320,0,0.0
item,I0321,0,0.0
item,I0322,0,0.0
item,I0323,0,0.0
item,I0324,0,0.0
item,I0325,144,0.04
item,I0326,21,0.01
item,I0327,112,0.03
item,I0328,70,0.02
item,I0329,141,0.04
item,I0330,146,0.04
item,I0331,104,0.03
item,I0332,39,0.01
item,I0333,48,0.01
item,I0334,62,0.02
item,I0335,116,0.03
item,I0336,72,0.02
item,I0337,361,0.1
item,I0338,91,0.03
item,I0339,326,0.09
item,I0340,350,0.1
item,I0341,35,0.01
item,I0342,165,0.05
item,I0343,337,0.09
item,I0344,327,0.09
item,I0345,324,0.09
item,I0346,336,0.09
item,I0347,319,0.09
item,I0348,21,0.01
item,I0349,361,0.1
item,I0350,65,0.02
item,I0351,24,0.01
item,I0352,354,0.1
item,I0353,355,0.1
item,I0354,301,0.08
item,I0355,338,0.09
item,I0356,335,0.09
item,I0357,340,0.09
item,I0358,320,0.09
item,I0359,301,0.08
item,I0360,302,0.08
item,I0361,16,0.0
item,I0362,17,0.0
item,I0363,17,0.0
item,I0364,8,0.0
item,I0365,17,0.0
item,I0366,17,0.0
item,I0367,0,0.0
item,I0368,17,0.0
item,I0369,17,0.0
item,I0370,17,0.0
item,I0371,17,0.0
item,I0372,6,0.0
item,I0373,48,0.01
item,I0374,67,0.02
item,I0375,2,0.0
item,I0376,69,0.02
item,I0377,46,0.01
item,I0378,67,0.02
item,I0379,55,0.02
item,I0380,89,0.02
item,I0381,13,0.0
item,I0382,5,0.0
item,I0383,100,0.03
item,I0384,33,0.01
item,I0385,87,0.02
item,I0386,87,0.02
item,I0387,87,0.02
item,I0388,33,0.01
item,I0389,87,0.02
item,I0390,0,0.0
item,I0391,87,0.02
item,I0392,0,0.0
item,I0393,0,0.0
item,I0394,87,0.02
item,I0395,85,0.02
item,I0396,87,0.02
item,I0397,0,0.0
item,I0398,0,0.0
item,I0399,0,0.0
item,I0400,0,0.0
item,I0401,0,0.0
item,I0402,0,0.0
item,I0403,0,0.0
item,I0404,0,0.0
item,I0405,0,0.0
item,I0406,0,0.0
item,I0407,0,0.0
item,I0408,0,0.0
item,I0409,301,0.08
item,I0410,301,0.08
item,I0411,19,0.01
item,I0412,301,0.08
item,I0413,298,0.08
item,I0414,27,0.01
item,I0415,301,0.08
item,I0416,0,0.0
item,I0417,301,0.08
item,I0418,301,0.08
item,I0419,232,0.06
item,I0420,301,0.08
item,I0421,83,0.02
item,I0422,115,0.03
item,I0423,0,0.0
item,I0424,115,0.03
item,I0425,2,0.0
item,I0426,1,0.0
item,I0427,115,0.03
item,I0428,115,0.03
item,I0429,115,0.03
item,I0430,115,0.03
item,I0431,39,0.01
item,I0432,115,0.03
item,I0433,0,0.0
item,I0434,0,0.0
item,I0435,0,0.0
item,I0436,0,0.0
item,I0437,0,0.0
item,I0438,0,0.0
item,I0439,0,0.0
item,I0440,0,0.0
