section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
A,C05_S001,STM_ITM,S001,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,2.557,0.503,0,1,158,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S002,STM_ITM,S002,NUMBER,1.0,3.0,,22,1.0,2.0,3.0,2.045,0.213,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S004,STM_ITM,S004,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,2.637,0.499,0,3,125,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S013,STM_ITM,S013,NUMBER,1.0,3.0,,360,1.0,1.0,3.0,2.497,0.543,0,8,165,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S017,STM_ITM,S017,NUMBER,1.0,3.0,,359,1.0,2.0,3.0,2.802,0.399,0,0,71,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S018,STM_ITM,S018,NUMBER,1.0,3.0,,263,1.0,1.0,3.0,2.548,0.674,0,27,65,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S020,STM_ITM,S020,NUMBER,1.0,3.0,,53,1.0,2.0,3.0,2.868,0.342,0,0,7,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S021,STM_ITM,S021,NUMBER,1.0,3.0,,121,1.0,2.0,3.0,2.43,0.497,0,0,69,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S024,STM_ITM,S024,NUMBER,1.0,3.0,,360,1.0,1.0,3.0,2.589,0.509,0,3,142,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S026,STM_ITM,S026,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,2.03,0.818,0,115,120,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S028,STM_ITM,S028,NUMBER,1.0,3.0,,170,1.0,1.0,3.0,2.041,0.78,0,48,67,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S032,STM_ITM,S032,NUMBER,1.0,3.0,,113,1.0,1.0,3.0,1.646,0.55,0,44,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S042,STM_ITM,S042,NUMBER,1.0,3.0,,23,1.0,1.0,3.0,1.522,0.846,0,16,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S043,STM_ITM,S043,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,2.125,0.893,0,124,68,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S046,STM_ITM,S046,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,2.554,0.546,0,9,143,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S052,STM_ITM,S052,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,2.474,0.516,0,3,184,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S055,STM_ITM,S055,NUMBER,1.0,3.0,,139,1.0,1.0,3.0,1.446,0.567,0,82,52,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S056,STM_ITM,S056,NUMBER,1.0,3.0,,357,1.0,1.0,3.0,1.496,0.741,0,233,71,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S059,STM_ITM,S059,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,2.748,0.522,0,15,61,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S064,STM_ITM,S064,NUMBER,1.0,3.0,,327,1.0,1.0,3.0,1.535,0.518,0,155,169,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S066,STM_ITM,S066,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,2.845,0.378,0,2,52,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S067,STM_ITM,S067,NUMBER,1.0,3.0,,117,1.0,2.0,3.0,2.453,0.5,0,0,64,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S068,STM_ITM,S068,NUMBER,1.0,3.0,,52,1.0,1.0,2.0,1.135,0.345,0,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S072,STM_ITM,S072,NUMBER,1.0,3.0,,341,1.0,2.0,3.0,2.877,0.329,0,0,42,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S073,STM_ITM,S073,NUMBER,1.0,3.0,,360,1.0,1.0,3.0,1.25,0.521,0,285,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S076,STM_ITM,S076,NUMBER,1.0,3.0,,360,1.0,1.0,3.0,2.606,0.512,0,4,134,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S077,STM_ITM,S077,NUMBER,1.0,3.0,,3,1.0,2.0,3.0,2.333,0.577,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S078,STM_ITM,S078,NUMBER,1.0,3.0,,21,1.0,1.0,1.0,1.0,0.0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S079,STM_ITM,S079,NUMBER,1.0,3.0,,38,1.0,1.0,2.0,1.184,0.393,0,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C05_S080,STM_ITM,S080,NUMBER,1.0,3.0,,353,1.0,2.0,3.0,2.652,0.477,0,0,123,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S001,STM_ITM,S001,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,1.85,0.789,0,143,129,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S002,STM_ITM,S002,NUMBER,1.0,3.0,,22,1.0,1.0,3.0,1.955,0.486,0,3,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S004,STM_ITM,S004,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,1.809,0.687,0,126,178,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S013,STM_ITM,S013,NUMBER,1.0,3.0,,360,1.0,1.0,3.0,1.842,0.558,0,89,239,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S017,STM_ITM,S017,NUMBER,1.0,3.0,,359,1.0,2.0,3.0,2.894,0.308,0,0,38,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S018,STM_ITM,S018,NUMBER,1.0,3.0,,263,1.0,1.0,3.0,2.319,0.57,0,14,151,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S020,STM_ITM,S020,NUMBER,1.0,3.0,,53,1.0,1.0,1.0,1.0,0.0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S021,STM_ITM,S021,NUMBER,1.0,3.0,,121,1.0,1.0,3.0,2.083,0.852,0,39,33,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S024,STM_ITM,S024,NUMBER,1.0,3.0,,360,1.0,1.0,3.0,1.669,0.568,0,137,205,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S026,STM_ITM,S026,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,2.014,0.656,0,75,206,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S028,STM_ITM,S028,NUMBER,1.0,3.0,,170,1.0,1.0,3.0,2.529,0.672,0,17,46,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S032,STM_ITM,S032,NUMBER,1.0,3.0,,113,1.0,1.0,3.0,2.274,0.782,0,23,36,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S042,STM_ITM,S042,NUMBER,1.0,3.0,,23,1.0,1.0,3.0,2.652,0.714,0,3,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S043,STM_ITM,S043,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,1.961,0.805,0,124,127,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S046,STM_ITM,S046,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,1.947,0.869,0,146,88,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S052,STM_ITM,S052,NUMBER,1.0,3.0,,361,1.0,1.0,3.0,1.59,0.721,0,198,113,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06_S055,STM_ITM,S055,NUMBER,1.0,3.0,,139,1.0,2.0,3.0,2.612,0.489,0,0,54,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
