thread,student,domain_name,domain_value,item_count,raw_score,max_points,true_theta,theta,se,scale_score,scale_score_se,performance_level
1,1,Overall,Overall,30,19,30,1.5,1.708415,0.395537,1085,20,
1,2,Overall,Overall,30,11,30,-1.0,-0.851888,0.387516,957,19,
1,3,Overall,Overall,30,19,30,2.0,1.523184,0.403303,1076,20,
1,4,Overall,Overall,30,20,30,1.5,1.617518,0.413058,1081,21,
1,5,Overall,Overall,30,12,30,-1.5,-0.858327,0.389908,957,19,
1,6,Overall,Overall,30,16,30,0.5,0.732185,0.391584,1037,20,
1,7,Overall,Overall,30,18,30,1.5,1.312575,0.401654,1066,20,
1,8,Overall,Overall,30,16,30,0.0,-0.668935,0.381763,967,19,
1,9,Overall,Overall,30,10,30,-2.0,-1.900832,0.409741,905,20,
1,10,Overall,Overall,30,16,30,0.5,0.559234,0.37326,1028,19,
1,11,Overall,Overall,30,19,30,2.0,1.698406,0.40327,1085,20,
1,12,Overall,Overall,30,14,30,-1.0,-0.63518,0.379542,968,19,
1,13,Overall,Overall,30,10,30,-2.0,-1.596752,0.401472,920,20,
1,14,Overall,Overall,30,15,30,-1.0,-0.612968,0.374634,969,19,
1,15,Overall,Overall,30,8,30,-1.5,-1.800069,0.42992,910,21,
1,16,Overall,Overall,30,14,30,-0.5,-0.956303,0.382775,952,19,
1,17,Overall,Overall,30,18,30,1.0,1.227654,0.399132,1061,20,
1,18,Overall,Overall,30,17,30,0.5,0.775342,0.377926,1039,19,
1,19,Overall,Overall,30,14,30,-0.5,-0.05739,0.373283,997,19,
1,20,Overall,Overall,30,13,30,-1.5,-0.866797,0.377598,957,19,
1,21,Overall,Overall,30,21,30,2.0,2.025532,0.428623,1101,21,
1,22,Overall,Overall,30,5,30,-2.0,-2.814734,0.514611,859,26,
1,23,Overall,Overall,30,8,30,-1.5,-2.00357,0.432517,900,22,
1,24,Overall,Overall,30,11,30,-1.5,-1.430979,0.395518,928,20,
1,25,Overall,Overall,30,23,30,2.0,2.059044,0.449533,1103,22,
1,26,Overall,Overall,30,5,30,-2.0,-2.582548,0.509528,871,25,
1,27,Overall,Overall,30,13,30,-0.5,-0.306325,0.375112,985,19,
1,28,Overall,Overall,30,23,30,2.0,2.424756,0.446782,1121,22,
1,29,Overall,Overall,30,14,30,-1.0,-0.886562,0.384648,956,19,
1,30,Overall,Overall,30,11,30,-2.0,-1.508068,0.399942,925,20,
1,31,Overall,Overall,30,19,30,2.0,1.650131,0.401029,1083,20,
1,32,Overall,Overall,30,12,30,-1.5,-1.213034,0.384161,939,19,
1,33,Overall,Overall,30,17,30,1.0,0.812117,0.378484,1041,19,
1,34,Overall,Overall,30,16,30,0.5,0.482485,0.371461,1024,19,
1,35,Overall,Overall,30,14,30,-1.0,-0.797052,0.381434,960,19,
1,36,Overall,Overall,30,12,30,-0.5,-0.137159,0.382039,993,19,
1,37,Overall,Overall,30,15,30,0.0,0.290124,0.370423,1015,19,
1,38,Overall,Overall,30,17,30,-1.0,-0.398571,0.382684,980,19,
1,39,Overall,Overall,30,13,30,-1.5,-0.991454,0.380668,950,19,
1,40,Overall,Overall,30,11,30,-2.0,-1.631902,0.402636,918,20,
1,41,Overall,Overall,30,8,30,-1.5,-2.158231,0.438206,892,22,
1,42,Overall,Overall,30,11,30,-1.5,-1.521688,0.397282,924,20,
1,43,Overall,Overall,30,16,30,1.0,0.815283,0.379737,1041,19,
1,44,Overall,Overall,30,10,30,-2.0,-1.614832,0.412893,919,21,
1,45,Overall,Overall,30,19,30,0.5,0.264083,0.390838,1013,20,
1,46,Overall,Overall,30,13,30,0.5,0.363265,0.384969,1018,19,
1,47,Overall,Overall,30,15,30,-0.5,-0.773233,0.398,961,20,
1,48,Overall,Overall,30,8,30,-2.0,-1.895127,0.427116,905,21,
1,49,Overall,Overall,30,18,30,1.5,1.266331,0.403642,1063,20,
1,50,Overall,Overall,30,15,30,-0.5,0.036884,0.371991,1002,19,
1,51,Overall,Overall,30,11,30,-1.5,-1.496453,0.392484,925,20,
1,52,Overall,Overall,30,14,30,1.5,0.43008,0.381243,1022,19,
1,53,Overall,Overall,30,12,30,-1.5,-1.204399,0.388104,940,19,
1,54,Overall,Overall,30,22,30,1.5,1.983316,0.436967,1099,22,
1,55,Overall,Overall,30,16,30,0.5,0.316459,0.372503,1016,19,
1,56,Overall,Overall,30,23,30,1.5,2.114846,0.461883,1106,23,
1,57,Overall,Overall,30,11,30,-2.0,-1.787157,0.397404,911,20,
1,58,Overall,Overall,30,12,30,-0.5,-0.794687,0.383313,960,19,
1,59,Overall,Overall,30,12,30,-1.5,-1.107267,0.395591,945,20,
1,60,Overall,Overall,30,8,30,-2.0,-2.024103,0.42997,899,21,
1,61,Overall,Overall,30,24,30,2.0,2.617848,0.488663,1131,24,
1,62,Overall,Overall,30,8,30,-2.0,-1.927369,0.428464,904,21,
1,63,Overall,Overall,30,11,30,-1.0,-0.925779,0.396775,954,20,
1,64,Overall,Overall,30,16,30,0.0,-0.181355,0.374521,991,19,
1,65,Overall,Overall,30,20,30,2.0,1.317916,0.401136,1066,20,
1,66,Overall,Overall,30,10,30,-1.5,-1.770631,0.406843,911,20,
1,67,Overall,Overall,30,10,30,-2.0,-1.671971,0.413793,916,21,
1,68,Overall,Overall,30,10,30,-2.0,-1.551483,0.402242,922,20,
1,69,Overall,Overall,30,15,30,0.0,-0.265785,0.375282,987,19,
1,70,Overall,Overall,30,20,30,1.5,1.635105,0.41614,1082,21,
1,71,Overall,Overall,30,24,30,2.0,2.555209,0.487232,1128,24,
1,72,Overall,Overall,30,21,30,2.0,1.796658,0.41995,1090,21,
1,73,Overall,Overall,30,14,30,-0.5,-0.353649,0.375422,982,19,
1,74,Overall,Overall,30,19,30,2.0,1.472745,0.405352,1074,20,
1,75,Overall,Overall,30,17,30,0.5,0.559775,0.378736,1028,19,
1,76,Overall,Overall,30,10,30,-1.0,-1.563994,0.412899,922,21,
1,77,Overall,Overall,30,15,30,-1.0,-0.781776,0.377253,961,19,
1,78,Overall,Overall,30,18,30,1.5,1.208233,0.390172,1060,20,
1,79,Overall,Overall,30,11,30,-1.0,-1.165924,0.390202,942,20,
1,80,Overall,Overall,30,10,30,-2.0,-1.825866,0.409651,909,20,
1,81,Overall,Overall,30,18,30,1.5,1.325722,0.393831,1066,20,
1,82,Overall,Overall,30,16,30,1.0,0.571462,0.37434,1029,19,
1,83,Overall,Overall,30,17,30,-0.5,-0.334133,0.385345,983,19,
1,84,Overall,Overall,30,17,30,0.5,0.552952,0.377794,1028,19,
1,85,Overall,Overall,30,15,30,-0.5,0.441485,0.384595,1022,19,
1,86,Overall,Overall,30,18,30,1.0,0.961684,0.389063,1048,19,
1,87,Overall,Overall,30,11,30,-1.0,-0.800561,0.387089,960,19,
1,88,Overall,Overall,30,22,30,2.0,2.163807,0.434527,1108,22,
1,89,Overall,Overall,30,15,30,1.0,0.872304,0.38004,1044,19,
1,90,Overall,Overall,30,12,30,-1.0,-0.58408,0.381003,971,19,
1,91,Overall,Overall,30,9,30,-2.0,-2.079346,0.418294,896,21,
1,92,Overall,Overall,30,18,30,1.5,1.612004,0.395972,1081,20,
1,93,Overall,Overall,30,8,30,-2.0,-1.915853,0.432749,904,22,
1,94,Overall,Overall,30,14,30,0.0,-0.234653,0.372981,988,19,
1,95,Overall,Overall,30,14,30,0.0,0.063733,0.374344,1003,19,
1,96,Overall,Overall,30,17,30,1.0,1.279053,0.399798,1064,20,
1,97,Overall,Overall,30,12,30,-1.0,-0.894042,0.385028,955,19,
1,98,Overall,Overall,30,19,30,0.5,0.970983,0.395682,1049,20,
1,99,Overall,Overall,30,21,30,1.5,1.635567,0.421616,1082,21,
1,100,Overall,Overall,30,18,30,0.0,0.767582,0.38067,1038,19,
1,101,Overall,Overall,30,8,30,-2.0,-2.205661,0.434228,890,22,
1,102,Overall,Overall,30,20,30,1.0,0.669352,0.401679,1033,20,
1,103,Overall,Overall,30,13,30,0.0,-0.661059,0.388249,967,19,
1,104,Overall,Overall,30,18,30,1.5,1.590446,0.397066,1080,20,
1,105,Overall,Overall,30,17,30,0.5,1.141286,0.393481,1057,20,
1,106,Overall,Overall,30,14,30,-1.0,-0.799824,0.380359,960,19,
1,107,Overall,Overall,30,23,30,1.5,2.165797,0.45666,1108,23,
1,108,Overall,Overall,30,16,30,1.0,0.906954,0.386082,1045,19,
1,109,Overall,Overall,30,20,30,1.5,1.457185,0.40102,1073,20,
1,110,Overall,Overall,30,7,30,-2.0,-1.98789,0.439525,901,22,
1,111,Overall,Overall,30,21,30,2.0,1.865815,0.41244,1093,21,
1,112,Overall,Overall,30,20,30,2.0,1.852084,0.414866,1093,21,
1,113,Overall,Overall,30,18,30,2.0,1.273753,0.392547,1064,20,
1,114,Overall,Overall,30,14,30,0.5,0.314074,0.385451,1016,19,
1,115,Overall,Overall,30,21,30,1.5,1.309196,0.405024,1065,20,
1,116,Overall,Overall,30,7,30,-1.5,-2.308998,0.454726,885,23,
1,117,Overall,Overall,30,14,30,0.5,0.096467,0.370392,1005,19,
1,118,Overall,Overall,30,11,30,-1.5,-1.582408,0.396833,921,20,
1,119,Overall,Overall,30,18,30,0.5,0.983795,0.385221,1049,19,
1,120,Overall,Overall,30,12,30,-0.5,-0.732093,0.381451,963,19,
1,121,Overall,Overall,30,18,30,1.5,1.266653,0.393479,1063,20,
1,122,Overall,Overall,30,12,30,-0.5,-0.457132,0.383982,977,19,
1,123,Overall,Overall,30,11,30,-1.5,-1.366742,0.398741,932,20,
1,124,Overall,Overall,30,26,30,2.0,3.081216,0.562692,1154,28,
1,125,Overall,Overall,30,17,30,0.0,0.555695,0.383676,1028,19,
1,126,Overall,Overall,30,12,30,-1.0,-0.991422,0.386774,950,19,
1,127,Overall,Overall,30,24,30,2.0,2.161094,0.489861,1108,24,
1,128,Overall,Overall,30,19,30,1.0,1.21062,0.392072,1061,20,
1,129,Overall,Overall,30,20,30,2.0,1.727236,0.41147,1086,21,
1,130,Overall,Overall,30,19,30,1.0,0.886753,0.395225,1044,20,
1,131,Overall,Overall,30,15,30,-1.0,-0.211995,0.373979,989,19,
1,132,Overall,Overall,30,15,30,0.0,-0.302824,0.373231,985,19,
1,133,Overall,Overall,30,20,30,1.5,1.781525,0.405709,1089,20,
