theta,N,bias,MAE,RMSE,SEM,Theoretical_Limit_SEM,correlation,reliability_1,reliability_2
-2.0,400,-0.038042,0.345222,0.448344,0.439775,0.401462,
-1.5,400,-0.018723,0.320416,0.403328,0.405524,,
-1.0,400,0.012802,0.321021,0.401021,0.389188,0.373302,
-0.5,400,0.00225,0.282989,0.358333,0.382616,,
0.0,400,0.005442,0.298136,0.379003,0.379104,0.368154,
0.5,400,0.040607,0.314205,0.398349,0.38253,,
1.0,400,-0.00907,0.323882,0.410268,0.392157,0.374814,
1.5,400,0.053908,0.331974,0.422739,0.411848,,
2.0,400,0.04633,0.354083,0.449179,0.443015,0.40016,
Test,3600,0.010612,0.321325,0.408795,0.402862,,0.95507,0.879611,0.913748
