section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
A,C01,STM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C02,STM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C03,ITM,,NUMBER,12.0,12.0,,3600,1.0,12.0,12.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0
A,C04_S001,STM_ITM,S001,NUMBER,5.0,7.0,,360,1.0,5.0,7.0,5.636,0.76,0,0,0,0,0,193,105,62,0,0,0,0,0,0,0,0,0,0,0
A,C04_S002,STM_ITM,S002,NUMBER,5.0,7.0,,2,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C04_S004,STM_ITM,S004,NUMBER,5.0,7.0,,360,1.0,5.0,7.0,5.858,0.742,0,0,0,0,0,128,155,77,0,0,0,0,0,0,0,0,0,0,0
A,C04_S013,STM_ITM,S013,NUMBER,5.0,7.0,,215,1.0,5.0,7.0,5.642,0.824,0,0,0,0,0,125,42,48,0,0,0,0,0,0,0,0,0,0,0
A,C04_S017,STM_ITM,S017,NUMBER,5.0,7.0,,317,1.0,5.0,7.0,6.776,0.44,0,0,0,0,0,3,65,249,0,0,0,0,0,0,0,0,0,0,0
A,C04_S018,STM_ITM,S018,NUMBER,5.0,7.0,,260,1.0,5.0,7.0,6.381,0.818,0,0,0,0,0,56,49,155,0,0,0,0,0,0,0,0,0,0,0
A,C04_S020,STM_ITM,S020,NUMBER,5.0,7.0,,72,1.0,6.0,7.0,6.583,0.496,0,0,0,0,0,0,30,42,0,0,0,0,0,0,0,0,0,0,0
A,C04_S021,STM_ITM,S021,NUMBER,5.0,7.0,,80,1.0,5.0,7.0,6.475,0.763,0,0,0,0,0,13,16,51,0,0,0,0,0,0,0,0,0,0,0
A,C04_S024,STM_ITM,S024,NUMBER,5.0,7.0,,360,1.0,5.0,7.0,5.711,0.776,0,0,0,0,0,175,114,71,0,0,0,0,0,0,0,0,0,0,0
A,C04_S026,STM_ITM,S026,NUMBER,5.0,7.0,,360,1.0,5.0,7.0,5.569,0.773,0,0,0,0,0,218,79,63,0,0,0,0,0,0,0,0,0,0,0
A,C04_S027,STM_ITM,S027,NUMBER,5.0,7.0,,16,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C04_S028,STM_ITM,S028,NUMBER,5.0,7.0,,361,1.0,5.0,7.0,5.681,0.844,0,0,0,0,0,204,68,89,0,0,0,0,0,0,0,0,0,0,0
A,C04_S032,STM_ITM,S032,NUMBER,5.0,7.0,,156,1.0,5.0,7.0,5.327,0.484,0,0,0,0,0,106,49,1,0,0,0,0,0,0,0,0,0,0,0
A,C04_S042,STM_ITM,S042,NUMBER,5.0,7.0,,13,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C04_S043,STM_ITM,S043,NUMBER,5.0,7.0,,361,1.0,5.0,7.0,5.654,0.806,0,0,0,0,0,201,84,76,0,0,0,0,0,0,0,0,0,0,0
A,C04_S046,STM_ITM,S046,NUMBER,5.0,7.0,,361,1.0,5.0,7.0,5.967,0.912,0,0,0,0,0,156,61,144,0,0,0,0,0,0,0,0,0,0,0
A,C04_S052,STM_ITM,S052,NUMBER,5.0,7.0,,361,1.0,5.0,7.0,5.659,0.852,0,0,0,0,0,213,58,90,0,0,0,0,0,0,0,0,0,0,0
A,C04_S055,STM_ITM,S055,NUMBER,5.0,7.0,,128,1.0,5.0,6.0,5.398,0.492,0,0,0,0,0,77,51,0,0,0,0,0,0,0,0,0,0,0,0
A,C04_S056,STM_ITM,S056,NUMBER,5.0,7.0,,318,1.0,5.0,7.0,6.428,0.719,0,0,0,0,0,43,96,179,0,0,0,0,0,0,0,0,0,0,0
A,C04_S059,STM_ITM,S059,NUMBER,5.0,7.0,,360,1.0,5.0,7.0,6.547,0.691,0,0,0,0,0,41,81,238,0,0,0,0,0,0,0,0,0,0,0
A,C04_S061,STM_ITM,S061,NUMBER,5.0,7.0,,16,1.0,7.0,7.0,7.0,0.0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
