theta,N,bias,MAE,RMSE,SEM,Theoretical_Limit_SEM,correlation,reliability_1,reliability_2
-2.0,400,-0.183729,0.590274,0.796111,0.710542,0.577504,
-1.5,400,-0.113934,0.454825,0.60793,0.593677,,
-1.0,400,-0.079356,0.436381,0.571676,0.512225,0.419882,
-0.5,400,-0.020931,0.361806,0.458549,0.440819,,
0.0,400,-0.040177,0.318018,0.412335,0.395897,0.316871,
0.5,400,-0.017685,0.302337,0.387655,0.366815,,
1.0,400,0.008238,0.272263,0.345354,0.354018,0.296036,
1.5,400,0.026045,0.282853,0.346421,0.351738,,
2.0,400,0.007636,0.29321,0.369305,0.360601,0.322615,
Test,3600,-0.045988,0.367996,0.498488,0.454037,,0.939326,0.807267,0.889625
