thread,student,domain_name,domain_value,item_count,raw_score,max_points,true_theta,theta,se,scale_score,scale_score_se,performance_level
1,83,Overall,Overall,35,15,41,0.0,0.156908,0.352537,1008,18,
1,84,Overall,Overall,35,7,41,-0.5,-1.432018,0.554689,928,28,
1,85,Overall,Overall,35,8,41,-2.0,-1.612651,0.583755,919,29,
1,86,Overall,Overall,35,15,41,0.0,-0.132517,0.410293,993,21,
1,87,Overall,Overall,35,5,41,-1.5,-1.783699,0.661406,911,33,
1,88,Overall,Overall,35,6,41,-2.0,-1.730147,0.607196,913,30,
1,89,Overall,Overall,35,7,41,-2.0,-1.2831,0.530977,936,27,
1,90,Overall,Overall,35,26,41,2.0,2.392342,0.352227,1120,18,
1,91,Overall,Overall,35,6,41,-2.0,-1.967615,0.627716,902,31,
1,92,Overall,Overall,35,8,41,-1.0,-1.14335,0.514444,943,26,
1,93,Overall,Overall,35,24,41,2.0,1.76415,0.332712,1088,17,
1,94,Overall,Overall,35,16,41,0.5,0.416923,0.350308,1021,18,
1,95,Overall,Overall,35,24,41,2.0,1.648391,0.350298,1082,18,
1,96,Overall,Overall,35,10,41,0.0,-0.133328,0.408683,993,20,
1,97,Overall,Overall,35,7,41,-2.0,-1.567623,0.570966,922,29,
1,98,Overall,Overall,35,8,41,-2.0,-1.306738,0.514841,935,26,
1,99,Overall,Overall,35,15,41,1.0,0.646506,0.332493,1032,17,
1,100,Overall,Overall,35,24,41,1.5,1.988259,0.351953,1099,18,
1,101,Overall,Overall,35,6,41,-2.0,-1.838576,0.581617,908,29,
1,102,Overall,Overall,35,25,41,2.0,2.09581,0.349755,1105,17,
1,103,Overall,Overall,35,25,41,2.0,1.700232,0.364859,1085,18,
1,104,Overall,Overall,35,13,41,0.0,0.352561,0.378726,1018,19,
1,105,Overall,Overall,35,12,41,-0.5,-0.517311,0.462049,974,23,
1,106,Overall,Overall,35,13,41,-0.5,-0.123149,0.382982,994,19,
1,107,Overall,Overall,35,10,41,-1.0,-0.758737,0.457502,962,23,
1,108,Overall,Overall,35,29,41,2.0,2.538189,0.373988,1127,19,
1,109,Overall,Overall,35,12,41,0.5,-0.3582,0.434331,982,22,
1,110,Overall,Overall,35,8,41,-0.5,-0.623385,0.46788,969,23,
1,111,Overall,Overall,35,8,41,-0.5,-0.590318,0.410798,970,21,
1,112,Overall,Overall,35,13,41,-0.5,-0.238279,0.415723,988,21,
1,113,Overall,Overall,35,8,41,-1.0,-1.143165,0.515309,943,26,
1,114,Overall,Overall,35,4,41,-2.0,-1.987402,0.639668,901,32,
1,115,Overall,Overall,35,11,41,0.0,-0.170316,0.408173,991,20,
1,116,Overall,Overall,35,15,41,0.5,0.374626,0.357494,1019,18,
1,117,Overall,Overall,35,23,41,1.5,1.596579,0.336464,1080,17,
1,118,Overall,Overall,35,19,41,1.0,0.833824,0.365058,1042,18,
1,119,Overall,Overall,35,17,41,0.5,0.652898,0.359161,1033,18,
1,120,Overall,Overall,35,18,41,0.0,0.724648,0.360335,1036,18,
1,121,Overall,Overall,35,7,41,-2.0,-2.058186,0.636753,897,32,
1,122,Overall,Overall,35,11,41,-1.0,-0.267739,0.410377,987,21,
1,123,Overall,Overall,35,12,41,-0.5,0.10242,0.3775,1005,19,
1,124,Overall,Overall,35,23,41,1.0,1.667665,0.371455,1083,19,
1,125,Overall,Overall,35,19,41,1.5,0.91519,0.354772,1046,18,
1,126,Overall,Overall,35,22,41,1.5,1.405162,0.331542,1070,17,
1,127,Overall,Overall,35,15,41,0.5,0.214342,0.368208,1011,18,
1,128,Overall,Overall,35,13,41,0.5,0.327522,0.374955,1016,19,
1,129,Overall,Overall,35,17,41,0.0,0.721177,0.358554,1036,18,
1,130,Overall,Overall,35,10,41,-0.5,-0.188883,0.415331,991,21,
1,131,Overall,Overall,35,17,41,0.0,0.631224,0.337093,1032,17,
1,132,Overall,Overall,35,18,41,1.0,0.599259,0.348783,1030,17,
1,133,Overall,Overall,35,12,41,0.5,0.301413,0.367009,1015,18,
1,134,Overall,Overall,35,19,41,1.5,1.526201,0.350675,1076,18,
1,135,Overall,Overall,35,26,41,2.0,1.802848,0.403765,1090,20,
1,136,Overall,Overall,35,9,41,-0.5,-0.996868,0.472024,950,24,
1,137,Overall,Overall,35,25,41,2.0,1.979992,0.349978,1099,17,
1,138,Overall,Overall,35,11,41,-1.0,-0.837385,0.465899,958,23,
1,139,Overall,Overall,35,9,41,-0.5,-0.796592,0.479528,960,24,
1,140,Overall,Overall,35,4,41,-2.0,-1.981685,0.683977,901,34,
1,141,Overall,Overall,35,28,41,2.0,1.9779,0.348047,1099,17,
1,142,Overall,Overall,35,21,41,1.0,0.880662,0.336234,1044,17,
1,143,Overall,Overall,35,11,41,-0.5,-0.554185,0.421326,972,21,
1,144,Overall,Overall,35,10,41,-1.5,-0.388166,0.459826,981,23,
1,145,Overall,Overall,35,6,41,-1.5,-1.774695,0.618027,911,31,
1,146,Overall,Overall,35,26,41,1.5,1.774833,0.326609,1089,16,
1,147,Overall,Overall,35,14,41,0.5,0.650869,0.345261,1033,17,
1,148,Overall,Overall,35,4,41,-2.0,-2.414202,0.678545,879,34,
1,149,Overall,Overall,35,6,41,-2.0,-1.681961,0.596133,916,30,
1,150,Overall,Overall,35,17,41,0.5,0.434124,0.361777,1022,18,
