theta,N,bias,MAE,RMSE,SEM,Theoretical_Limit_SEM,correlation,reliability_1,reliability_2
-3.0,400,-0.237345,0.783375,0.995563,1.012294,0.797701,
-2.5,400,-0.270823,0.718731,0.960087,0.869613,0.679028,
-2.0,400,-0.114473,0.561266,0.724976,0.692284,0.579202,
-1.5,400,-0.090154,0.456425,0.584629,0.585608,0.493911,
-1.0,400,-0.081147,0.409661,0.53067,0.50304,0.419882,
-0.5,400,-0.063747,0.361199,0.465481,0.434459,0.359383,
0.0,400,-0.034368,0.312534,0.394123,0.38459,0.316871,
0.5,400,-0.006521,0.291012,0.364691,0.355235,0.296577,
1.0,400,0.011035,0.283381,0.355695,0.344746,0.295873,
1.5,400,0.025735,0.28631,0.358008,0.347118,0.303797,
2.0,400,-0.040368,0.293758,0.371532,0.357238,0.323001,
2.5,400,0.037268,0.341336,0.435082,0.384628,0.344243,
3.0,400,0.088461,0.360297,0.456441,0.433444,0.384784,
Test,5200,-0.059727,0.419945,0.578943,0.515715,,0.960415,0.83961,0.920885
