theta,N,bias,MAE,RMSE,SEM,Theoretical_Limit_SEM,correlation,reliability_1,reliability_2
-2.0,400,-0.050225,0.393563,0.501743,0.471689,0.428207,
-1.5,400,0.022764,0.364994,0.456493,0.436302,,
-1.0,400,0.021881,0.330219,0.419182,0.422653,0.404689,
-0.5,400,-0.010314,0.329088,0.416281,0.417027,,
0.0,400,0.006213,0.341116,0.428911,0.414844,0.402065,
0.5,400,0.008418,0.355361,0.43702,0.417093,,
1.0,400,0.050834,0.338907,0.424949,0.426397,0.407125,
1.5,400,0.027388,0.33618,0.420599,0.441592,,
2.0,400,0.066038,0.378356,0.491132,0.476494,0.426285,
Test,3600,0.015889,0.351976,0.44507,0.43601,,0.947413,0.865248,0.900721
