thread,student,domain_name,domain_value,item_count,raw_score,max_points,true_theta,theta,se,scale_score,scale_score_se,performance_level
1,82,Overall,Overall,25,17,25,1.5,1.181119,0.436988,1059,22,
1,83,Overall,Overall,25,18,25,1.0,0.687377,0.464948,1034,23,
1,84,Overall,Overall,25,4,25,-2.0,-3.034756,0.560972,848,28,
1,85,Overall,Overall,25,10,25,0.0,-0.495308,0.413689,975,21,
1,86,Overall,Overall,25,11,25,0.0,-0.226548,0.425329,989,21,
1,87,Overall,Overall,25,6,25,-2.0,-2.47494,0.486559,876,24,
1,88,Overall,Overall,25,7,25,-2.0,-1.463644,0.453839,927,23,
1,89,Overall,Overall,25,13,25,0.5,0.454983,0.410559,1023,21,
1,90,Overall,Overall,25,13,25,0.0,0.277617,0.406952,1014,20,
1,91,Overall,Overall,25,14,25,0.0,0.599269,0.407704,1030,20,
1,92,Overall,Overall,25,11,25,-1.5,-1.261599,0.419862,937,21,
1,93,Overall,Overall,25,15,25,0.0,0.527921,0.415281,1026,21,
1,94,Overall,Overall,25,16,25,0.0,0.261281,0.426685,1013,21,
1,95,Overall,Overall,25,10,25,-1.0,-0.879469,0.416849,956,21,
1,96,Overall,Overall,25,14,25,-0.5,0.217919,0.415653,1011,21,
1,97,Overall,Overall,25,11,25,0.0,-0.189937,0.408146,991,20,
1,98,Overall,Overall,25,16,25,1.5,1.79212,0.436897,1090,22,
1,99,Overall,Overall,25,13,25,-0.5,-0.499137,0.423294,975,21,
1,100,Overall,Overall,25,17,25,2.0,1.780075,0.449763,1089,22,
1,101,Overall,Overall,25,14,25,1.5,0.829182,0.413319,1041,21,
1,102,Overall,Overall,25,14,25,-0.5,-0.312526,0.414172,984,21,
1,103,Overall,Overall,25,17,25,1.5,0.082286,0.446328,1004,22,
1,104,Overall,Overall,25,10,25,-1.0,-1.045457,0.426679,948,21,
1,105,Overall,Overall,25,9,25,-2.0,-1.891404,0.43808,905,22,
1,106,Overall,Overall,25,14,25,-1.0,-0.59547,0.413644,970,21,
1,107,Overall,Overall,25,14,25,-1.5,-0.772307,0.424552,961,21,
