type,id,count,exposure_rate
item,I0264,0,0.0
item,I0265,358,0.1
item,I0266,11,0.0
item,I0267,357,0.1
item,I0268,16,0.0
item,I0269,16,0.0
item,I0270,355,0.1
item,I0271,13,0.0
item,I0272,355,0.1
item,I0273,300,0.08
item,I0274,348,0.1
item,I0275,268,0.07
item,I0276,336,0.09
item,I0277,227,0.06
item,I0278,176,0.05
item,I0279,360,0.1
item,I0280,201,0.06
item,I0281,117,0.03
item,I0282,152,0.04
item,I0283,98,0.03
item,I0284,165,0.05
item,I0285,111,0.03
item,I0286,7,0.0
item,I0287,123,0.03
item,I0288,63,0.02
item,I0289,0,0.0
item,I0290,0,0.0
item,I0291,0,0.0
item,I0292,0,0.0
item,I0293,0,0.0
item,I0294,0,0.0
item,I0295,0,0.0
item,I0296,0,0.0
item,I0297,0,0.0
item,I0298,0,0.0
item,I0299,0,0.0
item,I0300,0,0.0
item,I0301,362,0.1
item,I0302,224,0.06
item,I0303,121,0.03
item,I0304,41,0.01
item,I0305,109,0.03
item,I0306,205,0.06
item,I0307,252,0.07
item,I0308,28,0.01
item,I0309,131,0.04
item,I0310,141,0.04
item,I0311,181,0.05
item,I0312,15,0.0
item,I0313,44,0.01
item,I0314,10,0.0
item,I0315,26,0.01
item,I0316,37,0.01
item,I0317,26,0.01
item,I0318,22,0.01
item,I0319,17,0.0
item,I0320,20,0.01
item,I0321,46,0.01
item,I0322,39,0.01
item,I0323,0,0.0
item,I0324,38,0.01
item,I0325,358,0.1
item,I0326,192,0.05
item,I0327,123,0.03
item,I0328,229,0.06
item,I0329,193,0.05
item,I0330,145,0.04
item,I0331,57,0.02
item,I0332,149,0.04
item,I0333,122,0.03
item,I0334,99,0.03
item,I0335,42,0.01
item,I0336,81,0.02
item,I0337,362,0.1
item,I0338,33,0.01
item,I0339,318,0.09
item,I0340,358,0.1
item,I0341,32,0.01
item,I0342,52,0.01
item,I0343,354,0.1
item,I0344,349,0.1
item,I0345,320,0.09
item,I0346,136,0.04
item,I0347,309,0.09
item,I0348,9,0.0
item,I0349,358,0.1
item,I0350,24,0.01
item,I0351,41,0.01
item,I0352,360,0.1
item,I0353,359,0.1
item,I0354,251,0.07
item,I0355,154,0.04
item,I0356,339,0.09
