thread,student,domain_name,domain_value,item_count,raw_score,max_points,true_theta,theta,se,scale_score,scale_score_se,performance_level
1,82,Overall,Overall,19,12,19,1.0,0.932596,0.447885,1,0,
1,83,Overall,Overall,25,5,25,-1.5,-1.782765,0.44566,-2,0,
1,84,Overall,Overall,24,6,24,-2.0,-1.523924,0.441228,-2,0,
1,85,Overall,Overall,22,7,22,-1.0,-0.974561,0.435352,-1,0,
1,86,Overall,Overall,18,11,18,0.5,0.572321,0.445523,1,0,
1,87,Overall,Overall,19,13,19,1.0,0.837783,0.445639,1,0,
1,88,Overall,Overall,18,11,18,1.0,0.572321,0.445523,1,0,
1,89,Overall,Overall,20,14,20,1.0,0.987765,0.444875,1,0,
1,90,Overall,Overall,18,11,18,0.0,0.291875,0.446519,0,0,
1,91,Overall,Overall,20,6,20,-1.5,-1.125987,0.449573,-1,0,
1,92,Overall,Overall,23,18,23,2.0,1.752297,0.44943,2,0,
1,93,Overall,Overall,29,4,29,-2.0,-2.126069,0.44426,-2,0,
1,94,Overall,Overall,22,6,22,-2.0,-1.209891,0.445682,-1,0,
1,95,Overall,Overall,19,12,19,1.0,0.80442,0.442305,1,0,
1,96,Overall,Overall,18,8,18,-1.0,-0.362393,0.441794,0,0,
1,97,Overall,Overall,18,10,18,1.0,0.462176,0.443323,0,0,
1,98,Overall,Overall,18,8,18,0.0,-0.292955,0.441014,0,0,
1,99,Overall,Overall,24,6,24,-1.5,-1.523924,0.441228,-2,0,
1,100,Overall,Overall,19,7,19,-1.5,-0.789499,0.44326,-1,0,
1,101,Overall,Overall,23,17,23,1.5,1.607734,0.436144,2,0,
1,102,Overall,Overall,19,12,19,0.5,0.972595,0.449343,1,0,
1,103,Overall,Overall,19,7,19,-2.0,-0.789499,0.44326,-1,0,
1,104,Overall,Overall,19,12,19,1.5,0.932596,0.447885,1,0,
1,105,Overall,Overall,18,7,18,-0.5,-0.626395,0.448206,-1,0,
