theta,N,bias,MAE,RMSE,SEM,Theoretical_Limit_SEM,correlation,reliability_1,reliability_2
-3.0,400,-0.203709,0.754125,0.97029,0.943488,0.797701,
-2.5,400,-0.207157,0.619755,0.853938,0.786265,0.679028,
-2.0,400,-0.142328,0.529625,0.739986,0.643598,0.579202,
-1.5,400,-0.089989,0.425319,0.583268,0.525763,0.494192,
-1.0,400,-0.003958,0.352418,0.442143,0.429133,0.419882,
-0.5,400,-0.038637,0.293768,0.374453,0.370587,0.359383,
0.0,400,0.016549,0.275586,0.343869,0.323095,0.317418,
0.5,400,-0.01464,0.251087,0.317926,0.30346,0.297552,
1.0,400,0.011679,0.237801,0.299757,0.300318,0.296036,
1.5,400,0.037154,0.265242,0.326204,0.31232,0.303006,
2.0,400,0.001709,0.278978,0.344862,0.33222,0.322615,
2.5,400,0.031471,0.2932,0.368977,0.365933,0.344243,
3.0,400,0.045785,0.332293,0.433186,0.419997,0.384784,
Test,5200,-0.042775,0.377631,0.537263,0.46586,,0.964873,0.859599,0.932587
