section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
A,C15,ITM,,NUMBER,1.0,2.0,,3600,1.0,1.0,2.0,1.973,0.164,0,99,3501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C16,ITM,,NUMBER,0.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C17,ITM,,NUMBER,2.0,2.0,,3600,1.0,2.0,2.0,2.0,0.0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C18,ITM,,NUMBER,0.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C19,ITM,,NUMBER,0.0,1.0,,3600,1.0,0.0,0.0,0.0,0.0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C20,ITM,,NUMBER,3.0,3.0,,3600,1.0,3.0,3.0,3.0,0.0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C21,ITM,,NUMBER,2.0,2.0,,3600,1.0,2.0,2.0,2.0,0.0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C22,ITM,,NUMBER,0.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C23,ITM,,NUMBER,0.0,1.0,,3600,1.0,0.0,1.0,1.0,0.017,1,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C24,ITM,,NUMBER,4.0,4.0,,3600,1.0,4.0,4.0,4.0,0.0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C25,ITM,,NUMBER,4.0,4.0,,3600,1.0,4.0,4.0,4.0,0.0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C26,ITM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C27,ITM,,NUMBER,2.0,2.0,,3600,1.0,2.0,2.0,2.0,0.0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C28,ITM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C29,ITM,,NUMBER,0.0,1.0,,3600,1.0,0.0,1.0,0.182,0.386,2946,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C30,ITM,,NUMBER,0.0,1.0,,3600,1.0,0.0,1.0,0.997,0.058,12,3588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C31,ITM,,NUMBER,2.0,2.0,,3600,1.0,2.0,2.0,2.0,0.0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C32,ITM,,NUMBER,0.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C33,ITM,,NUMBER,0.0,1.0,,3600,1.0,0.0,1.0,0.44,0.496,2017,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
