theta,N,bias,MAE,RMSE,SEM,Theoretical_Limit_SEM,correlation,reliability_1,reliability_2
-2.0,400,-0.131606,0.519624,0.715337,0.63347,0.577504,
-1.5,400,-0.078959,0.420954,0.55137,0.520234,,
-1.0,400,-0.041335,0.336136,0.448564,0.433748,0.419882,
-0.5,400,-0.004533,0.295044,0.369867,0.367051,,
0.0,400,-0.009829,0.266975,0.333486,0.324571,0.316871,
0.5,400,0.003145,0.255634,0.322912,0.303117,,
1.0,400,0.004525,0.238076,0.296754,0.300583,0.296036,
1.5,400,0.028964,0.255452,0.318804,0.312331,,
2.0,400,-0.003056,0.25959,0.32733,0.33169,0.322685,
Test,3600,-0.025854,0.316387,0.430253,0.391866,,0.952102,0.852398,0.912555
