theta,N,bias,MAE,RMSE,SEM,Theoretical_Limit_SEM,correlation,reliability_1,reliability_2
-3.0,500,-0.250988,0.75247,0.94308,0.966681,0.808087,
-2.5,500,-0.160535,0.642742,0.843659,0.780411,0.685751,
-2.0,500,-0.098426,0.50527,0.687934,0.632133,0.58139,
-1.5,500,-0.121432,0.4638,0.639705,0.532761,0.491014,
-1.0,500,-0.057344,0.365197,0.466693,0.434749,0.415903,
-0.5,500,-0.030554,0.307085,0.392573,0.369566,0.358488,
0.0,500,-0.032612,0.275547,0.352476,0.329945,0.321692,
0.5,500,-0.016791,0.243105,0.311229,0.308599,0.303725,
1.0,500,-0.033992,0.231775,0.28742,0.301746,0.297303,
1.5,500,1.49E-4,0.255583,0.322005,0.306196,0.29858,
2.0,500,0.01438,0.281391,0.354239,0.326916,0.316679,
2.5,500,0.043407,0.313857,0.404113,0.366564,0.347409,
3.0,500,0.064706,0.351294,0.446236,0.422628,0.389803,
Test,6500,-0.05231,0.383778,0.537149,0.467607,,0.965089,0.8584,0.932124
