theta,N,bias,MAE,RMSE,SEM,Theoretical_Limit_SEM,correlation,reliability_1,reliability_2
-2.0,400,-0.006533,0.629858,0.817449,0.562009,0.577504,
-1.5,400,-0.098601,0.554813,0.715409,0.48826,,
-1.0,400,-0.140342,0.498101,0.645091,0.465057,0.419882,
-0.5,400,-0.119905,0.460969,0.600139,0.423155,,
0.0,400,-0.031338,0.408724,0.521259,0.349872,0.316871,
0.5,400,-0.031721,0.371355,0.463936,0.340023,,
1.0,400,-0.010125,0.345157,0.432139,0.319549,0.295873,
1.5,400,0.034917,0.355124,0.4441,0.335564,,
2.0,400,0.007553,0.37317,0.473739,0.338628,0.322464,
Test,3600,-0.04401,0.444141,0.582303,0.402458,,0.916252,0.796188,0.896725
