section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
A,C26,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.6,0.49,2603,3897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C27,ITM,,NUMBER,1.0,2.0,,6500,1.0,1.0,2.0,1.2,0.4,0,5199,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C28,ITM,,NUMBER,1.0,1.0,,6500,1.0,1.0,1.0,1.0,0.0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C29,ITM,,NUMBER,2.0,2.0,,6500,1.0,2.0,2.0,2.0,0.0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C30,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.976,0.152,154,6346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C31,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.972,0.164,179,6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C32,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.051,0.22,6167,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C33,ITM,,NUMBER,6.0,6.0,,6500,1.0,6.0,6.0,6.0,0.0,0,0,0,0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C34,ITM,,NUMBER,2.0,2.0,,6500,1.0,2.0,2.0,2.0,0.0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C35,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.652,0.476,2261,4239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C36,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.976,0.153,156,6344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C37,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.372,0.483,4083,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C38,ITM,,NUMBER,2.0,2.0,,6500,1.0,2.0,2.0,2.0,0.0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C39,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.928,0.258,467,6033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C40,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.772,0.42,1483,5017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
